LOCALIDAD,2009,2010,2011,2012,2013,2014,2015,2016,2017
1  DE  ENERO,3,1,5,,,,,,
1  DE ENERO,,3,15,,,,,,
1ｺ DE  ENERO,,,,2,1,19,1,,
1ｺ DE  ENERO RIO MAZAN,28,,,,,,,,
1ｺ DE ENERO,,,1,,,,,,
1ｺ DE ENERO RIO NAPO,1,,,,,,,,
1ｰ ENERO,,,,,,,5,,
1ｰ ENERO RIO MAZAN,,,,,41,18,16,,
14 DE JULIO,18,1,7,6,9,18,26,2,7
17 DE JUNIO,,,,,,,1,,
1ro ENERO,,,,,,,,5,40
200 MILLAS,,1,1,3,,,1,,1
22 DE NOVIEMBRE,,,1,1,1,3,,,1
28 DE OCTUBRE,4,,2,4,2,3,3,2,
4 DE ABRIL,8,,3,,3,4,1,,
8 DE OCTUBRE,3,,2,1,2,2,3,,
AGUA BLANQUILLO,,,1,,1,,1,,
AGUANO,,,2,,,,,,
AGUAS BLANCAS,,,8,1,1,1,3,2,3
AGUAS NEGRAS,,,,,3,1,1,1,7
ANDRADE,,,1,,2,,,1,1
ANDREACOCHA,,,2,,1,,,,
ANGOTEROS,,,,,,1,,,
ANGUSILLA,,1,,,,,,,
ARMAS,,,5,1,,,,1,
ATUN COCHA,,,1,,,,,,
AUCA POZA,1,,,,4,6,3,,1
BAGAZAN,4,,,2,1,3,1,3,
BELLO HORIZONTE,24,1,11,7,25,33,8,1,9
BOLO URCO,,1,,,1,,,,
BUEN PASO,1,,,,9,,15,,
BUENA VISTA,,1,1,4,3,12,11,5,5
BUFEO COCHA,,,,,,,,,1
CABO PANTOJA,,,2,1,,2,4,1,
CALENTURA,,,2,,3,,,,2
CAMU CAMU,,,,,,,,,1
CANTON,,,,2,,1,,,
CARRET MAZAN - BELLAVISTA,1,,,,,,,,
CENTRO UNIDO,,1,,5,19,2,,,
CENTRO UNION PARAISO,2,,,,,,,,
CHIRIYACU,,,2,1,,,,2,3
CHISPA DE ORO,1,,,,,,1,2,
CHONTA URCO,,,,5,5,,1,,
COCHA TIGRE,,1,1,,,,,,
COCHIQUINA,,,,,,,1,,
COLOMBIANO,,,,,1,,,,2
COPAL URCO  RIO MAZAN,1,,,,,,,,
COPALILLO,3,1,1,1,3,1,1,,
CORAZON DE JESUS,2,1,1,1,5,5,3,1,5
CURARAY,,,2,,,,,,
CURUHINSI,,,,,,1,,,1
FLAUTERIO,1,,,,,,,,1
FLOR DE AGOSTO,2,,3,1,6,2,,,3
FLORESTA,1,,3,,,,,,1
GAMITANA COCHA,30,4,36,31,52,38,38,41,91
HUACAMAYO,,,8,,,1,1,,
HUAMAN URCO,5,5,18,4,48,46,103,45,28
INAYUGA,,,2,,,,,,
ISLA TAMANCO,,,2,,2,4,1,,1
ISRAEL,4,1,1,3,,3,3,,1
JOSE ABELARDO QUIﾃ前NEZ,,,,,,,,,2
JOSE ABELARDO QUI?ONEZ,6,,,,,2,,,
JUANCHO PLAYA,,,,1,1,3,,,
JUVENTUD YARINA,,,,,1,,,,
LAGARTO,,1,2,4,6,1,1,,6
LAGARTOCOCHA,,,1,,,,,2,
LAGO YURAC YACU,3,,3,,10,1,3,2,3
LAURIANA,,,,,,,,,5
LEON ISLA,,,,1,2,,,,
LIBERTAD,28,13,74,80,184,134,203,107,132
LLACHAPA,4,1,4,2,8,6,1,,
LOBO COCHA,,,2,,,,,,
MANATI 1ZONA,,,2,,5,2,1,1,
MANGUA,1,1,2,5,9,4,11,4,4
MAPA,,,4,,4,,1,,2
MAUCALLACTA,42,8,28,37,82,81,30,39,96
MAZAN,133,61,198,159,127,168,346,94,124
MILAGROS,1,,2,,,,,,3
MIRAFLORES,4,1,2,1,5,5,3,1,4
MOENA GRANDE,,,,,2,,,,1
NAPO,,1,,,,,,,
NU?EZ COCHA,,,,3,2,3,,,
NUEVA ESPERANZA,1,,4,1,2,,,,2
NUEVA JERUSALEN,,,,,1,,,,
NUEVO CANTON,9,,2,2,3,10,12,4,2
NUEVO FLAUTERIO,,,,2,,,,,
NUEVO HORIZONTE,2,,1,5,,2,4,,2
NUEVO IQUITOS,1,1,,,,4,,,
NUEVO LEGUIZAMO RIO NAPO,1,,,,,,,,
NUEVO ORIENTE,,,1,,1,3,4,,
NUEVO PORVENIR,5,,,,2,7,4,2,4
NUEVO SAN JUAN,2,,1,,1,1,4,,
NUEVO TIWINSA,6,3,3,4,7,11,3,,3
NUEVO TRIUNFO,1,,,1,1,1,,,
NUEVO VARADERILLO,,,1,,,1,3,1,
NUEVO VIEJO,,,44,13,,,1,,5
ORO BLANCO,1,,4,1,2,16,,4,1
PALETA,,,7,,4,,,,
PALOMETA,,,2,,,,,,
PANILLA COCHA,,,,,,,,,1
PAPARO,,,2,,2,,,,
PARAISO,,,5,2,,4,,,1
PAUCARILLO,1,1,,,,,,1,3
PETRONA ISLA,,,2,2,,5,1,,
PINTU LLACTA,3,,2,3,2,2,5,1,2
PIURI,,,22,,5,,,1,1
PIURI COCHA,,,3,,,,,,2
PUERTO ABEJA,3,,1,2,12,10,5,1,
PUERTO ALEGRE,46,5,12,10,15,54,40,62,17
PUERTO OBRERO,9,3,7,2,35,11,4,40,8
PUINAHUA,,,,2,5,1,8,,
PUNTA ARENA,1,,5,,,,1,,1
QUBRADA CALLAO,7,,,,,,,,
QUEBARADA LAGARTO,,3,11,6,5,5,3,3,8
QUEBARADA PA?A,,,,,,1,,,
QUEBRADA,,,,4,8,,2,21,13
QUEBRADA  ADAN,,1,1,4,3,2,,1,
QUEBRADA  ARAHUANA RIO MA,2,,,,,,,,
QUEBRADA  COLOMBIANO,,,4,,,,,,
QUEBRADA  JERGON,,,4,,,,,,
QUEBRADA  RAYA,,,4,,,,,,
QUEBRADA  TAMBOR MAZAN,1,,,,,,,,
QUEBRADA  TASHACURARAY,,,2,,,,,,
QUEBRADA ACHUAL,,2,3,4,3,5,1,5,1
QUEBRADA ACHUAL RIO MAZAN,9,,,,,,,,
QUEBRADA ADAN RIO MAZAN,9,5,,,,,,,
QUEBRADA AGUA BLANCA,1,,7,1,3,8,6,5,6
QUEBRADA AGUA BLNQUILLO,,1,,,,4,,2,
QUEBRADA AGUANO,2,9,5,3,22,6,,1,
QUEBRADA AGUANO RIO MAZAN,11,7,,,,,,,
QUEBRADA AGUAS BLANCAS,,,,,,1,,,
QUEBRADA AGUAS BLANCAS RI,3,,,,,,,,
QUEBRADA AGUAS NEGRAS RIO,3,,,,,,,,
QUEBRADA AHUANARI,,7,7,8,6,13,2,4,7
QUEBRADA AHUANARI RIO MAZ,19,,,,,,,,
QUEBRADA AMPI,,9,15,4,1,,4,,
QUEBRADA AMPI RIO MAZAN,7,,,,,,,,
QUEBRADA ANDRADE RIO MAZA,1,,,,,,,,
QUEBRADA ANDREA,,6,12,4,3,12,,1,3
QUEBRADA ANDREA RIO MAZAN,5,,,,,,,,
QUEBRADA ANSUELO,,3,2,,15,1,,4,
QUEBRADA ANZUELO RIO MAZA,1,,,,,,,,
QUEBRADA APAYACU,,,7,,,1,,2,1
QUEBRADA ARAHUANA,,6,7,5,5,6,6,3,2
QUEBRADA ARAHUANA RIO MAZ,15,,,,,,,,
QUEBRADA ARMAS,,64,131,82,54,50,9,20,26
QUEBRADA ARMAS RIO MAZAN,45,,,,,,,,
QUEBRADA ATACHA RIO MAZAN,3,,,,,,,,
QUEBRADA ATUN,,,8,5,22,32,1,,
QUEBRADA BOLAURCO RIO MAZ,1,,,,,,,,
QUEBRADA BUFEO,,7,21,2,3,3,,3,4
QUEBRADA BUFEO RIO MAZAN,11,,,,,,,,
QUEBRADA CALENTURA,,1,6,14,14,5,1,9,7
QUEBRADA CALENTURA RIO MA,7,,,,,,,,
QUEBRADA CALZON,,,,,,1,,,
